,"1=A=PHOTO, 2=B=WEAVE","0=None, 10=Very Strong","0=None, 10=Very Strong","0=None, 10=Very Strong","0=None, 10=Very Strong","1 = Yes, 2 = No",,"1 = Yes, 2 = No",,"1 = Yes, 2 = No",,"1 = Yes, 2 = No",,,"1=Male,2=Female","HS=12, Some College=13, AA=14, BA/BS/College Degree=16, masters=18, PHD/MD=21",
ID Number,First piece ,First_Image_Rate_Intensity_Emotion,First_Image_Rate_Intensity_NegPosReact,Second_Image_Rate_Intensity_Emotion,Second_Image_Rate_Intensity_NegPosReact,Art_Experience,Number of Years,Scientific_Experiments,Number of Years,Photography_Experience,Number of Years,Weaving_Experience,Number of Years,Age,Gender,education,
1,1,7,9,8,3,1,70,2,,1,45,2,,77,2,16,
2,1,7,7,5,7,2,,1,7,2,,2,,26,2,16,
3,1,6,8,8,4,2,,2,,1,10,2,,38,2,16,
4,1,7,5,8,4,1,10,2,,2,,,,29,2,18,
5,1,6,7,5,5,2,,2,,2,,2,,42,1,16,
6,1,8,8,6,7,1,2,1,3,2,,2,,21,2,16,
7,1,5,5,3,4,1,8,1,4,1,10,2,,23,2,16,
8,1,7,9,9,2,2,,1,30,2,,2,,56,2,16,
9,1,8,8,9,4,2,,2,,1,20,2,,46,1,13,
10,1,5,3,7,5,1,15,1,3,1,28,1,6,51,2,18,
11,1,8,8,10,10,1,5,2,,1,2,2,,24,2,13,
12,1,3,8,3,4,2,,2,,2,,2,,49,1,16,
13,1,9,5,8,6,1,1,2,,1,2,2,,14,2,9,
14,1,4,4,,,1,11,2,,2,,2,,24,1,16,
15,1,8,8,4,3,,,,,,,,,,,,
16,1,10,3,10,4,1,30,2,,2,,2,,45,1,16,
17,1,7,7,8,1,2,,2,,1,10,2,,70,2,13,
18,1,6,7,4,5,1,30,2,,1,10,2,,68,1,16,
19,1,5,9,7,5,2,,2,,1,1,2,,54,2,16,
20,1,7,10,10,2,2,,1,5,2,,1,9,59,2,18,
21,1,7,8,6,5,2,,2,,2,,2,,63,2,13,
22,1,4,5,7,2,2,,2,,1,2,2,,59,1,14,
23,1,4,3,,,2,,2,,2,,2,,19,2,14,
24,1,7,7,9,1,1,45,2,,2,,2,,48,2,21,
25,1,5,9,9,7,1,,1,1,1,2,2,,24,1,13,
26,1,3,6,2,5,1,20,1,10,1,10,2,,44,2,14,
27,1,5,6,4,4,2,,1,10,2,,2,,63,2,14,
28,1,7,,,,1,10,2,,1,5,2,,30,1,16,
29,1,7,8,4,3,2,,1,,2,,2,,65,2,18,
30,1,7,8,5,5,2,,2,,2,,2,,7,2,1,
31,1,6,9,,,,,,,,,,,,,,
32,1,5,6,5,3,1,45,2,,1,30,2,,57,2,18,
33,1,3,0,2,1,2,,2,,2,,2,,32,1,16,
34,1,8,7,8,7,1,6,1,3,2,,1,1,14,2,8,
35,1,4,4,5,5,1,15,2,,1,1,2,,32,1,16,
36,1,7,4,7,2,,,,,,,,,,,,
37,1,6,0,4,0,1,10,2,,2,,2,,58,2,16,
38,1,3,4,3,4,1,18,2,,2,,2,,43,2,16,
39,1,7,7,8,8,2,,2,,2,,2,,73,2,12,
40,1,6,8,3,2,2,,1,20,1,4,2,,65,2,21,
41,1,4,3,5,4,2,,2,,2,,2,,43,2,13,
42,1,7,8,6,3,,,2,,2,,2,,78,1,21,
43,1,10,0,9,6,1,1,1,1,1,1,1,,62,2,16,
44,1,6,2,3,1,2,,2,,2,,2,,54,2,,
45,1,4,9,8,1,2,,2,,1,5,2,,70,1,16,
46,1,6,5,6,5,1,20,2,,2,,2,,47,1,16,
47,1,7,10,7,7,1,68,2,,2,,2,,68,2,13,
